Group,Item,Value,Resource_1,Resource_2,Resource_3,Resource_4,Resource_5,Resource_6,Resource_7,Resource_8,Resource_9,Resource_10
Group_2,Item_10,103,19,33,39,49,15,33,29,39,37,22
Group_2,Item_11,172,38,29,15,31,40,35,34,44,8,25
Group_2,Item_12,117,15,7,7,20,37,44,6,15,19,45
Group_2,Item_13,64,45,10,5,5,36,47,36,12,45,11
Group_2,Item_14,71,29,44,25,13,9,16,40,11,36,44
Group_2,Item_15,116,26,5,15,6,37,45,42,15,18,41
Group_2,Item_16,86,36,26,44,20,31,41,45,22,11,14
Group_2,Item_17,165,5,38,8,23,12,34,14,14,36,26
Group_2,Item_18,179,14,38,17,45,29,39,6,17,45,48
Group_2,Item_19,13,44,14,5,41,40,12,44,18,42,36
Group_2,Item_20,122,14,16,25,44,38,25,14,23,24,40
Group_2,Item_21,48,9,29,32,39,6,10,29,48,42,27
Group_2,Item_22,94,22,23,47,17,22,37,38,38,23,44
Group_2,Item_23,171,48,41,23,7,16,7,39,17,8,25
Group_2,Item_24,97,9,9,42,7,14,34,14,20,19,10
Group_2,Item_25,34,14,31,37,33,10,6,44,41,27,42
Group_2,Item_26,111,45,35,17,5,41,9,14,16,31,40
Group_2,Item_27,83,32,9,44,21,8,8,27,45,6,25
Group_2,Item_28,63,24,38,5,43,11,7,49,15,43,7
Group_2,Item_29,153,28,40,27,46,34,27,40,36,29,5
Group_2,Item_30,51,32,30,33,46,29,42,39,21,33,9
Group_3,Item_1,144,42,35,32,19,6,31,25,15,40,31
Group_3,Item_2,27,37,46,43,38,11,29,25,8,12,46
Group_3,Item_3,21,36,39,31,36,35,38,5,29,47,17
Group_3,Item_4,61,11,46,10,33,34,12,36,20,12,23
Group_3,Item_5,96,8,34,18,32,42,23,41,10,9,45
Group_3,Item_6,30,34,49,7,44,10,21,49,16,15,49
Group_3,Item_7,44,18,9,26,36,30,34,39,16,32,21
Group_3,Item_8,74,23,9,25,15,26,36,49,46,28,14
Group_3,Item_9,75,38,19,42,11,43,21,18,13,9,27
Group_3,Item_10,44,42,37,8,41,16,18,42,37,24,7
Group_3,Item_11,107,48,25,28,32,8,38,10,39,15,33
Group_3,Item_12,193,19,21,30,20,6,30,9,14,38,38
Group_3,Item_13,124,41,17,37,28,13,45,7,45,47,21
Group_3,Item_14,107,18,7,22,17,5,40,27,26,43,32
Group_3,Item_15,117,38,35,13,37,9,29,11,47,11,7
Group_3,Item_16,89,17,26,20,16,30,16,45,32,31,39
Group_3,Item_17,63,46,18,26,38,39,17,29,24,26,39
Group_3,Item_18,195,48,38,14,18,23,14,21,44,7,43
Group_3,Item_19,40,40,23,33,9,7,32,28,16,9,8
Group_3,Item_20,55,45,34,38,43,10,32,23,14,31,11
Group_3,Item_21,162,39,30,30,13,7,44,17,49,19,30
Group_3,Item_22,50,20,17,36,26,22,19,9,33,39,14
Group_3,Item_23,171,7,12,34,48,36,11,46,41,36,12
Group_3,Item_24,88,21,44,40,37,39,9,19,32,45,29
Group_3,Item_25,37,17,13,34,22,33,39,20,9,24,43
Group_3,Item_26,131,35,48,23,17,8,8,13,42,9,7
Group_3,Item_27,39,45,13,27,31,33,48,46,39,37,31
Group_3,Item_28,161,13,8,37,40,28,39,12,14,45,23
Group_3,Item_29,128,44,35,37,23,17,14,44,14,21,22
Group_3,Item_30,25,23,29,21,39,42,19,47,37,18,13
Group_4,Item_1,61,26,18,33,31,9,24,23,15,47,45
Group_4,Item_2,39,19,35,28,19,33,17,49,34,27,29
Group_4,Item_3,32,6,40,14,47,8,24,22,36,42,11
Group_4,Item_4,41,18,15,10,38,48,24,5,38,37,21
Group_4,Item_5,14,39,20,49,47,16,6,26,6,20,26
Group_4,Item_6,165,26,14,39,8,36,34,36,37,18,48
Group_4,Item_7,179,29,28,6,17,28,11,36,11,47,37
Group_4,Item_8,120,13,33,24,49,37,37,33,17,18,38
Group_4,Item_9,174,30,12,42,14,29,25,42,11,6,48
Group_4,Item_10,150,5,9,5,25,41,30,45,20,28,41
Group_4,Item_11,48,35,12,32,12,30,19,17,32,18,19
Group_4,Item_12,95,27,47,48,34,13,21,13,26,40,26
Group_4,Item_13,83,17,21,46,13,32,40,49,39,46,10
Group_4,Item_14,123,14,5,20,21,34,48,15,26,10,18
Group_4,Item_15,196,18,20,24,31,17,40,13,19,36,48
Group_4,Item_16,34,26,47,45,12,28,17,37,28,13,41
Group_4,Item_17,120,33,25,33,9,22,10,44,17,23,20
Group_4,Item_18,128,10,17,14,7,42,23,8,21,8,33
Group_4,Item_19,99,46,34,37,41,36,29,32,7,39,47
Group_4,Item_20,146,17,49,29,46,37,28,23,46,16,19
Group_4,Item_21,54,39,45,20,16,29,44,48,23,48,5
Group_4,Item_22,79,17,18,7,10,47,31,19,11,25,27
Group_4,Item_23,157,42,44,27,13,18,22,47,17,31,44
Group_4,Item_24,197,42,33,13,8,7,48,42,47,36,40
Group_4,Item_25,10,47,29,26,49,41,25,42,25,35,16
Group_4,Item_26,88,48,10,18,19,28,19,18,12,5,37
Group_4,Item_27,77,44,7,42,11,44,7,42,7,42,7
Group_4,Item_28,39,33,41,47,8,16,33,6,8,24,19
Group_4,Item_29,47,21,27,38,5,17,43,20,48,45,44
Group_4,Item_30,38,41,16,31,12,46,17,37,21,29,19
Group_5,Item_1,135,46,42,39,6,8,28,8,27,17,35
Group_5,Item_2,51,24,29,43,43,5,44,47,32,10,49
Group_5,Item_3,131,13,44,45,21,31,38,45,7,11,43
Group_5,Item_4,31,19,44,42,47,45,20,25,33,9,21
Group_5,Item_5,63,25,6,44,37,34,47,16,13,33,8
Group_5,Item_6,142,14,33,9,10,27,5,29,35,15,6
Group_5,Item_7,135,17,28,43,11,47,26,40,32,8,15
Group_5,Item_8,44,32,27,10,47,25,41,29,25,22,14
Group_5,Item_9,33,45,11,28,11,22,13,5,45,48,17
Group_5,Item_10,168,45,32,38,5,12,32,44,14,8,29
Group_5,Item_11,149,39,30,19,36,10,20,38,42,34,46
Group_5,Item_12,130,17,46,47,25,20,35,27,33,34,23
Group_5,Item_13,112,6,16,49,40,9,33,25,43,23,21
Group_5,Item_14,192,27,49,16,22,11,43,18,33,16,38
Group_5,Item_15,181,12,37,19,20,11,17,42,37,28,6
Group_5,Item_16,126,37,44,13,16,9,45,41,11,24,10
Group_5,Item_17,147,34,30,29,11,14,31,12,27,21,23
Group_5,Item_18,109,9,29,46,11,43,34,12,47,29,38
Group_5,Item_19,35,11,49,47,25,33,8,24,25,38,28
Group_5,Item_20,123,44,34,45,15,38,45,42,21,42,31
Group_5,Item_21,103,24,9,37,7,33,8,42,16,29,43
Group_5,Item_22,78,32,6,20,16,6,33,39,6,25,37
Group_5,Item_23,144,21,17,43,37,6,24,20,20,33,10
Group_5,Item_24,75,49,5,8,40,30,33,33,41,8,40
Group_5,Item_25,180,26,18,34,45,16,27,10,10,16,33
Group_5,Item_26,128,8,6,29,19,35,13,38,28,49,12
Group_5,Item_27,20,27,10,19,39,33,34,13,24,20,17
Group_5,Item_28,182,35,10,47,49,45,29,26,22,36,35
Group_5,Item_29,47,33,21,8,9,39,49,17,27,17,30
Group_5,Item_30,97,37,26,20,45,29,37,7,6,29,40
Group_6,Item_1,22,32,42,28,28,13,5,32,36,30,18
Group_6,Item_2,73,11,22,35,42,8,32,46,42,18,27
Group_6,Item_3,99,17,30,28,44,16,30,25,31,21,21
Group_6,Item_4,96,9,24,8,14,26,42,38,17,45,10
Group_6,Item_5,107,49,20,34,26,28,9,16,23,25,20
Group_6,Item_6,78,25,6,47,29,33,45,9,15,32,14
Group_6,Item_7,24,48,49,34,48,20,45,19,34,41,41
Group_6,Item_8,14,25,41,5,30,9,25,39,41,48,26
Group_6,Item_9,167,30,6,5,47,9,28,48,13,14,23
Group_6,Item_10,45,44,28,7,12,19,32,19,17,34,48
Group_6,Item_11,93,10,13,36,34,21,20,8,23,9,28
Group_6,Item_12,121,31,15,46,43,15,16,47,20,15,30
Group_6,Item_13,144,14,28,33,16,32,35,6,35,41,39
Group_6,Item_14,78,20,31,18,19,27,28,37,16,6,7
Group_6,Item_15,139,19,46,23,17,30,10,17,40,7,48
Group_6,Item_16,60,17,13,41,48,20,12,27,13,40,42
Group_6,Item_17,109,9,49,34,12,14,43,43,33,14,45
Group_6,Item_18,178,36,41,7,32,38,33,44,47,42,37
Group_6,Item_19,140,15,40,32,27,49,29,36,23,37,37
Group_6,Item_20,124,26,13,40,27,39,30,21,47,5,28
Group_6,Item_21,10,32,15,5,45,20,49,35,25,8,17
Group_6,Item_22,193,38,48,19,20,19,22,20,17,43,39
Group_6,Item_23,101,13,49,21,40,6,9,30,32,35,43
Group_6,Item_24,23,47,20,44,33,17,8,43,36,38,35
Group_6,Item_25,124,35,47,10,7,10,13,49,34,44,22
Group_6,Item_26,199,48,49,14,38,40,10,15,39,46,34
Group_6,Item_27,125,26,31,35,36,18,46,18,48,46,10
Group_6,Item_28,139,22,12,20,32,21,26,43,14,32,22
Group_6,Item_29,60,15,42,41,5,49,26,29,37,43,31
Group_6,Item_30,58,33,16,24,36,46,9,5,9,14,11
Group_7,Item_1,39,13,19,20,37,43,29,12,5,49,9
Group_7,Item_2,191,17,34,18,18,48,43,21,11,25,9
Group_7,Item_3,123,7,13,41,21,26,44,44,37,19,33
Group_7,Item_4,192,10,31,31,25,44,36,18,24,15,38
Group_7,Item_5,59,29,46,30,9,34,33,7,16,26,45
Group_7,Item_6,140,41,19,15,15,31,47,6,42,5,26
Group_7,Item_7,114,42,13,8,15,48,11,31,30,6,18
Group_7,Item_8,74,7,5,31,49,20,24,44,46,14,21
Group_7,Item_9,87,33,45,38,42,28,25,13,33,22,21
Group_7,Item_10,77,38,36,8,19,9,6,18,26,8,41
Group_7,Item_11,88,26,26,36,29,8,18,10,21,38,47
Group_7,Item_12,73,13,5,39,22,35,9,30,31,45,34
Group_7,Item_13,182,11,34,45,31,24,31,47,38,21,40
Group_7,Item_14,118,12,43,47,28,34,9,15,16,10,14
Group_7,Item_15,131,7,34,33,34,19,11,38,10,27,39
Group_7,Item_16,39,38,34,46,25,30,10,32,31,6,32
Group_7,Item_17,180,7,19,25,10,46,44,49,48,20,38
Group_7,Item_18,99,5,19,35,26,39,29,6,38,33,6
Group_7,Item_19,61,48,17,38,10,19,45,42,41,5,33
Group_7,Item_20,168,13,38,41,17,37,10,40,20,23,44
Group_7,Item_21,48,35,39,24,19,12,34,32,32,18,43
Group_7,Item_22,96,29,35,35,13,47,47,33,34,9,30
Group_7,Item_23,73,36,29,9,16,44,10,5,16,43,47
Group_7,Item_24,176,45,12,10,7,30,17,44,43,32,10
Group_7,Item_25,99,28,14,33,22,25,26,45,10,24,9
Group_7,Item_26,181,41,26,32,46,15,29,9,17,22,9
Group_7,Item_27,48,27,22,33,38,36,7,28,44,10,44
Group_7,Item_28,77,45,48,14,16,18,40,21,37,42,37
Group_7,Item_29,61,43,30,15,13,25,14,42,17,36,48
Group_7,Item_30,129,23,19,12,9,19,41,15,34,26,14
Group_8,Item_1,54,26,20,32,38,10,44,14,43,8,30
Group_8,Item_2,33,19,18,23,26,40,10,49,48,5,46
Group_8,Item_3,168,36,29,30,44,40,28,46,13,29,10
Group_8,Item_4,22,43,37,16,48,48,18,44,20,38,25
Group_8,Item_5,82,45,41,38,41,33,16,39,19,5,33
Group_8,Item_6,112,23,40,27,20,34,31,34,32,16,30
Group_8,Item_7,123,24,23,14,8,49,41,23,35,18,28
Group_8,Item_8,39,47,40,33,15,46,25,15,14,38,36
Group_8,Item_9,183,38,49,10,29,39,21,31,27,13,21
Group_8,Item_10,100,34,40,38,37,39,7,6,38,21,31
Group_8,Item_11,118,22,21,35,15,34,14,17,35,45,21
Group_8,Item_12,105,14,26,37,24,22,40,39,17,29,49
Group_8,Item_13,76,45,7,37,41,23,28,32,39,44,30
Group_8,Item_14,112,46,23,15,44,46,48,16,29,33,40
Group_8,Item_15,189,18,27,22,46,49,47,44,12,32,6
Group_8,Item_16,10,45,8,12,30,16,18,37,5,15,24
Group_8,Item_17,185,25,21,34,43,42,45,26,9,40,31
Group_8,Item_18,133,11,30,44,49,11,9,7,41,17,41
Group_8,Item_19,20,22,23,14,5,39,20,40,43,34,9
Group_8,Item_20,24,22,31,9,19,33,9,47,48,41,13
Group_8,Item_21,162,32,35,40,44,39,8,9,39,46,5
Group_8,Item_22,56,29,31,17,23,14,49,11,12,35,16
Group_8,Item_23,74,31,13,28,35,27,28,31,14,44,11
Group_8,Item_24,168,26,40,27,40,37,24,11,48,19,25
Group_8,Item_25,22,7,49,18,30,8,34,23,32,30,46
Group_8,Item_26,91,41,18,16,11,15,6,8,23,5,49
Group_8,Item_27,34,42,26,9,35,8,42,36,8,45,10
Group_8,Item_28,35,48,27,10,20,14,36,16,44,11,8
Group_8,Item_29,158,10,7,44,12,13,43,5,24,18,46
Group_8,Item_30,41,48,10,13,27,22,40,9,33,5,26
Group_9,Item_1,148,35,40,29,46,36,31,23,11,32,41
Group_9,Item_2,128,34,49,12,5,40,13,30,16,15,27
Group_9,Item_3,37,28,20,28,49,42,19,15,26,20,40
Group_9,Item_4,37,13,19,34,25,44,41,42,25,30,9
Group_9,Item_5,17,28,25,33,14,29,27,19,8,27,15
Group_9,Item_6,24,6,49,18,24,17,15,39,13,34,38
Group_9,Item_7,14,41,42,37,34,27,11,48,14,47,29
Group_9,Item_8,55,41,13,20,36,45,22,22,29,49,40
Group_9,Item_9,191,22,32,6,46,46,29,15,25,31,25
Group_9,Item_10,191,30,7,18,19,25,15,17,7,18,8
Group_9,Item_11,95,45,20,46,40,6,36,11,6,25,34
Group_9,Item_12,139,43,41,49,13,44,44,24,34,17,16
Group_9,Item_13,126,9,14,42,38,7,41,38,37,17,32
Group_9,Item_14,15,46,47,21,26,39,49,14,47,30,25
Group_9,Item_15,154,19,44,28,6,11,48,21,5,36,48
Group_9,Item_16,149,47,37,10,40,27,36,42,41,31,41
Group_9,Item_17,165,34,36,29,21,39,7,20,47,24,26
Group_9,Item_18,85,34,5,44,39,30,37,26,12,5,24
Group_9,Item_19,185,27,27,41,7,11,46,45,47,41,45
Group_9,Item_20,13,27,12,8,12,31,12,48,49,45,15
Group_9,Item_21,118,44,5,47,29,37,10,23,31,41,47
Group_9,Item_22,23,41,40,25,7,42,36,30,13,20,46
Group_9,Item_23,60,7,46,24,15,6,42,5,20,32,44
Group_9,Item_24,142,46,7,19,48,25,29,27,30,21,19
Group_9,Item_25,178,39,43,15,7,26,7,25,38,48,33
Group_9,Item_26,79,9,37,21,39,6,45,34,23,39,27
Group_9,Item_27,104,12,33,15,42,31,28,41,46,47,39
Group_9,Item_28,132,5,42,23,22,39,40,7,34,48,29
Group_9,Item_29,152,18,25,44,28,25,42,7,28,36,44
Group_9,Item_30,184,39,21,43,33,9,12,37,16,27,5
Group_10,Item_1,161,37,37,42,26,38,22,42,32,49,22
Group_10,Item_2,41,7,8,36,39,27,11,26,40,17,25
Group_10,Item_3,35,25,28,20,28,18,13,40,37,12,8
Group_10,Item_4,48,9,34,36,21,47,10,22,13,26,13
Group_10,Item_5,39,6,49,29,17,23,29,20,23,49,36
Group_10,Item_6,132,31,42,22,46,18,25,16,20,14,37
Group_10,Item_7,61,46,38,42,19,47,16,27,11,37,15
Group_10,Item_8,149,30,19,25,37,13,27,9,46,25,45
Group_10,Item_9,152,31,12,26,24,36,20,21,10,48,47
Group_10,Item_10,82,18,12,7,7,29,36,21,42,31,37
Group_10,Item_11,145,27,18,23,7,49,37,17,9,40,34
Group_10,Item_12,24,31,6,24,13,27,34,35,17,22,8
Group_10,Item_13,145,43,26,36,39,10,31,33,23,21,41
Group_10,Item_14,79,27,31,19,28,8,34,14,21,30,13
Group_10,Item_15,177,14,7,41,42,42,11,40,26,28,8
Group_10,Item_16,13,27,24,28,17,17,48,34,43,15,40
Group_10,Item_17,131,19,31,8,23,8,13,20,33,38,33
Group_10,Item_18,141,38,5,32,6,13,25,34,47,46,18
Group_10,Item_19,108,21,31,29,13,36,49,17,24,48,49
Group_10,Item_20,62,44,10,36,47,41,31,30,27,32,18
Group_10,Item_21,184,38,8,13,27,21,9,8,38,47,32
Group_10,Item_22,142,30,13,35,45,38,15,47,37,7,31
Group_10,Item_23,96,42,26,23,21,12,28,47,30,10,9
Group_10,Item_24,108,30,11,35,19,30,11,25,29,38,16
Group_10,Item_25,116,5,39,13,42,20,17,23,17,40,28
Group_10,Item_26,61,19,5,38,40,24,31,26,32,7,31
Group_10,Item_27,20,21,27,11,31,19,23,40,11,25,18
Group_10,Item_28,136,44,15,19,44,41,5,40,42,43,7
Group_10,Item_29,50,42,41,12,31,14,6,7,30,8,23
Group_10,Item_30,91,41,32,42,15,17,37,34,22,15,46
Group_11,Item_1,86,20,20,35,46,7,5,7,49,46,37
Group_11,Item_2,62,24,16,32,35,14,10,21,6,7,19
Group_11,Item_3,192,46,30,42,38,29,45,32,29,37,20
Group_11,Item_4,131,5,34,44,34,31,38,7,13,10,20
Group_11,Item_5,67,37,9,43,27,19,13,10,43,47,34
Group_11,Item_6,150,29,32,48,46,15,30,30,14,27,7
Group_11,Item_7,145,20,27,5,28,34,19,15,16,44,10
Group_11,Item_8,124,40,13,25,43,40,5,26,11,15,26
Group_11,Item_9,105,7,36,17,35,16,38,13,42,41,42
Group_11,Item_10,64,40,18,7,43,44,43,18,49,20,32
Group_11,Item_11,23,19,46,25,22,44,7,14,37,14,33
Group_11,Item_12,189,5,20,30,38,11,24,26,34,10,21
Group_11,Item_13,54,29,28,48,44,21,33,8,23,26,32
Group_11,Item_14,198,37,35,39,29,12,16,32,13,17,6
Group_11,Item_15,111,16,28,30,33,28,34,9,33,23,47
Group_11,Item_16,159,39,44,40,18,33,38,47,29,21,25
Group_11,Item_17,22,12,8,39,42,6,43,27,15,29,25
Group_11,Item_18,124,18,10,6,13,44,12,11,49,27,5
Group_11,Item_19,185,44,49,9,13,8,31,15,18,26,29
Group_11,Item_20,113,38,12,30,11,49,22,8,45,8,24
Group_11,Item_21,137,41,30,22,21,38,49,30,41,16,41
Group_11,Item_22,199,24,44,29,11,21,21,19,16,48,8
Group_11,Item_23,122,12,48,11,43,49,21,13,38,25,48
Group_11,Item_24,67,17,25,42,29,13,13,24,13,11,10
Group_11,Item_25,87,40,21,11,21,7,27,37,11,47,47
Group_11,Item_26,162,11,22,44,45,36,5,30,41,21,37
Group_11,Item_27,153,44,26,6,29,42,47,14,29,35,15
Group_11,Item_28,19,34,15,35,26,35,48,12,32,30,28
Group_11,Item_29,145,36,14,42,34,45,34,33,7,29,42
Group_11,Item_30,117,35,22,31,25,48,16,34,10,7,47
Group_12,Item_1,64,19,34,25,16,20,22,40,39,14,30
Group_12,Item_2,194,40,33,26,22,37,25,32,26,15,31
Group_12,Item_3,174,32,16,34,26,44,47,29,11,46,8
Group_12,Item_4,142,25,17,18,33,9,6,48,29,37,40
Group_12,Item_5,153,31,38,27,30,44,43,19,28,7,26
Group_12,Item_6,59,40,24,46,11,49,17,29,33,42,24
Group_12,Item_7,174,37,28,12,45,32,29,10,11,20,46
Group_12,Item_8,26,46,12,33,31,41,28,46,21,6,38
Group_12,Item_9,98,27,12,37,21,7,10,26,31,12,21
Group_12,Item_10,154,6,36,18,5,30,13,46,32,44,35
Group_12,Item_11,20,33,7,40,26,13,37,6,23,47,46
Group_12,Item_12,190,22,22,10,9,31,31,26,9,48,38
Group_12,Item_13,142,14,26,44,26,30,41,45,43,23,7
Group_12,Item_14,133,19,18,20,11,11,34,35,29,8,18
Group_12,Item_15,133,6,47,7,24,37,49,21,32,20,15
Group_12,Item_16,167,35,41,48,10,35,45,9,43,7,27
Group_12,Item_17,160,22,22,21,33,14,18,9,11,12,49
Group_12,Item_18,26,21,39,27,11,22,47,46,27,9,17
Group_12,Item_19,20,10,21,29,34,27,49,11,12,7,6
Group_12,Item_20,197,47,49,43,23,14,21,34,19,32,16
Group_12,Item_21,167,49,11,48,48,24,32,39,40,19,23
Group_12,Item_22,195,28,6,11,34,38,8,19,8,46,22
Group_12,Item_23,120,26,22,39,5,28,40,17,13,31,47
Group_12,Item_24,179,21,35,27,38,8,28,19,16,13,31
Group_12,Item_25,141,27,32,48,35,41,46,24,33,38,45
Group_12,Item_26,166,42,12,14,43,20,38,10,41,17,20
Group_12,Item_27,125,48,41,33,26,5,49,34,42,6,29
Group_12,Item_28,12,20,46,47,29,36,20,14,20,25,37
Group_12,Item_29,83,30,17,15,10,47,12,26,13,48,24
Group_12,Item_30,177,22,32,15,20,20,46,29,45,20,37
Group_13,Item_1,75,36,46,47,40,27,17,22,44,40,49
Group_13,Item_2,48,30,33,25,16,33,22,13,39,28,33
Group_13,Item_3,36,16,33,48,15,8,6,19,30,7,31
Group_13,Item_4,89,34,23,37,12,14,22,49,48,36,32
Group_13,Item_5,179,12,38,36,33,42,23,19,19,11,38
Group_13,Item_6,51,10,7,45,40,20,38,32,42,36,10
Group_13,Item_7,114,9,29,22,16,45,8,15,38,20,16
Group_13,Item_8,104,48,42,22,37,37,42,20,6,13,43
Group_13,Item_9,132,32,13,47,35,17,38,46,49,13,48
Group_13,Item_10,58,40,35,44,34,26,45,20,17,23,43
Group_13,Item_11,167,32,42,12,30,17,40,17,10,30,29
Group_13,Item_12,167,15,7,38,7,37,38,25,45,15,39
Group_13,Item_13,150,46,39,38,21,12,33,46,19,11,11
Group_13,Item_14,133,40,19,43,35,13,23,28,40,44,30
Group_13,Item_15,37,42,49,23,36,29,33,17,27,44,21
Group_13,Item_16,114,40,43,40,6,28,48,48,5,13,6
Group_13,Item_17,93,48,29,14,11,7,41,49,39,21,40
Group_13,Item_18,62,15,44,15,43,49,25,27,39,49,14
Group_13,Item_19,180,19,5,29,26,11,14,28,43,28,36
Group_13,Item_20,188,47,40,48,10,34,33,7,46,24,27
Group_13,Item_21,68,8,21,28,35,38,14,17,30,21,34
Group_13,Item_22,132,38,42,34,29,44,14,36,42,40,41
Group_13,Item_23,127,43,34,37,11,19,27,8,48,19,14
Group_13,Item_24,139,9,16,13,38,6,8,29,39,8,39
Group_13,Item_25,83,39,41,39,6,42,16,46,44,16,36
Group_13,Item_26,178,18,14,24,42,24,38,15,49,28,12
Group_13,Item_27,157,44,32,44,26,7,14,12,26,12,17
Group_13,Item_28,64,10,13,25,20,23,47,39,30,45,43
Group_13,Item_29,22,43,37,49,47,37,45,17,9,44,37
Group_13,Item_30,196,7,36,48,20,26,36,31,12,46,32
Group_14,Item_1,157,38,23,16,41,10,45,10,24,36,48
Group_14,Item_2,92,20,20,49,40,13,18,17,36,49,35
Group_14,Item_3,43,49,41,18,13,33,6,28,39,13,9
Group_14,Item_4,27,20,46,23,24,28,20,13,13,31,12
Group_14,Item_5,137,37,33,40,37,23,41,23,32,19,48
Group_14,Item_6,61,7,28,25,37,40,35,41,19,40,11
Group_14,Item_7,36,36,38,29,20,7,36,40,45,48,13
Group_14,Item_8,187,37,23,13,44,28,22,29,38,9,25
Group_14,Item_9,10,45,45,18,31,20,7,15,44,28,39
Group_14,Item_10,161,39,44,44,18,21,33,35,43,31,47
Group_14,Item_11,199,12,15,35,20,26,22,26,37,31,46
Group_14,Item_12,145,13,32,31,45,17,20,48,7,27,20
Group_14,Item_13,153,22,24,38,42,38,27,9,7,39,11
Group_14,Item_14,181,12,17,31,10,45,29,11,22,36,17
Group_14,Item_15,93,36,11,36,24,18,28,13,18,40,38
Group_14,Item_16,148,32,21,5,16,18,28,38,7,46,44
Group_14,Item_17,94,31,23,41,22,31,31,40,27,20,14
Group_14,Item_18,11,29,26,27,8,44,33,5,8,44,33
Group_14,Item_19,123,17,21,36,13,36,47,16,13,42,17
Group_14,Item_20,115,19,45,24,38,23,45,26,20,43,23
Group_14,Item_21,181,25,29,49,38,13,13,39,48,27,6
Group_14,Item_22,19,40,17,33,38,15,47,26,40,29,19
Group_14,Item_23,87,47,25,13,22,18,36,19,48,30,35
Group_14,Item_24,86,30,29,45,19,26,15,45,11,31,6
Group_14,Item_25,77,36,11,21,25,41,39,18,11,32,28
Group_14,Item_26,33,17,5,29,20,48,37,17,18,34,37
Group_14,Item_27,53,42,49,25,39,46,12,48,8,17,21
Group_14,Item_28,85,10,21,12,24,34,32,47,32,30,43
Group_14,Item_29,160,23,27,49,5,40,48,5,28,26,23
Group_14,Item_30,136,18,17,14,44,38,48,31,7,27,12
Group_15,Item_1,54,33,14,11,28,35,43,37,49,27,36
Group_15,Item_2,141,35,27,44,6,35,23,26,21,22,16
Group_15,Item_3,127,45,25,46,25,31,22,17,5,14,27
Group_15,Item_4,106,43,45,34,21,14,15,41,7,39,27
Group_15,Item_5,21,8,34,34,45,13,19,49,47,15,20
Group_15,Item_6,37,9,15,23,7,46,26,10,38,19,23
Group_15,Item_7,124,23,45,15,29,46,26,10,25,42,17
Group_15,Item_8,85,33,31,21,32,34,22,12,46,16,12
Group_15,Item_9,124,13,17,39,44,22,11,45,18,33,21
Group_15,Item_10,38,20,10,12,14,6,31,35,42,47,17
Group_15,Item_11,32,26,45,48,12,11,49,29,33,29,37
Group_15,Item_12,124,20,25,9,45,23,45,30,8,30,19
Group_15,Item_13,173,21,5,20,29,27,20,38,43,40,10
