Group,Item,Value,Resource_1,Resource_2,Resource_3,Resource_4,Resource_5,Resource_6,Resource_7,Resource_8,Resource_9,Resource_10
Group_5,Item_5,25,2,6,8,2,6,5,3,7,9,7
Group_5,Item_6,70,4,8,8,7,3,5,1,8,5,9
Group_5,Item_7,59,9,1,3,2,9,3,1,2,1,3
Group_5,Item_8,49,7,1,5,6,4,3,8,2,7,7
Group_5,Item_9,76,9,8,3,5,8,8,1,7,7,1
Group_5,Item_10,25,6,5,9,4,9,2,2,7,6,1
Group_5,Item_11,62,1,4,8,7,8,7,1,3,4,9
Group_5,Item_12,15,1,9,9,6,1,1,5,8,5,5
Group_5,Item_13,31,4,4,1,7,1,2,3,2,1,2
Group_5,Item_14,74,5,2,4,8,9,4,7,8,3,8
Group_6,Item_1,83,2,1,6,1,7,4,3,5,6,6
Group_6,Item_2,43,7,3,9,5,1,5,5,6,1,8
Group_6,Item_3,73,5,9,3,7,3,2,5,2,2,3
Group_6,Item_4,62,4,4,2,8,5,7,9,6,7,3
Group_6,Item_5,29,1,6,2,6,6,6,1,5,1,3
Group_6,Item_6,46,2,4,5,8,5,3,4,5,7,1
Group_6,Item_7,60,2,8,4,9,2,7,3,9,8,5
Group_6,Item_8,74,1,2,1,2,3,9,7,9,6,2
Group_6,Item_9,72,5,3,5,5,1,4,9,1,4,7
Group_6,Item_10,77,8,9,6,2,4,5,5,8,8,7
Group_6,Item_11,40,2,9,9,8,7,3,8,7,9,5
Group_6,Item_12,73,9,8,6,3,7,6,4,1,4,3
Group_6,Item_13,16,1,2,8,5,2,3,8,6,1,5
Group_6,Item_14,94,1,1,3,3,9,6,5,9,9,1
Group_6,Item_15,61,8,7,7,7,3,4,9,2,4,4
Group_6,Item_16,64,8,4,9,5,2,8,4,8,4,2
Group_6,Item_17,89,7,1,2,9,5,8,9,6,4,6
Group_6,Item_18,61,6,4,9,2,2,2,1,5,9,8
Group_6,Item_19,25,3,5,4,8,8,8,2,7,3,7
Group_6,Item_20,85,2,7,2,3,4,3,1,3,2,8
Group_6,Item_21,72,1,2,4,8,3,1,7,2,3,2
Group_6,Item_22,65,4,4,8,4,6,8,6,5,5,6
Group_6,Item_23,56,4,7,5,4,4,8,9,8,8,5
Group_6,Item_24,27,4,7,5,7,8,2,9,7,2,5
Group_6,Item_25,94,7,5,3,8,8,7,6,9,4,1
Group_6,Item_26,38,3,6,8,3,8,9,8,2,1,6
Group_7,Item_1,85,4,6,1,6,5,2,9,8,7,8
Group_7,Item_2,96,4,9,3,4,3,6,4,9,5,6
Group_7,Item_3,76,1,2,5,4,9,9,7,9,6,4
Group_7,Item_4,68,1,2,7,7,7,9,9,3,7,4
Group_7,Item_5,40,4,2,2,9,2,4,5,1,7,8
Group_7,Item_6,73,8,4,2,7,9,1,8,7,3,6
Group_7,Item_7,72,5,4,6,7,6,9,5,3,2,2
Group_7,Item_8,85,9,5,1,8,8,6,6,9,3,9
Group_7,Item_9,73,2,9,3,5,8,2,6,3,8,3
Group_7,Item_10,68,8,3,7,6,8,6,5,9,4,1
Group_7,Item_11,93,9,7,4,6,6,2,9,3,5,8
Group_7,Item_12,62,8,9,5,9,3,3,3,4,9,2
Group_7,Item_13,93,4,4,2,8,2,1,5,7,4,8
Group_7,Item_14,15,4,6,8,6,9,3,3,8,5,4
Group_7,Item_15,10,8,2,6,7,1,1,1,7,2,8
Group_7,Item_16,94,5,2,4,1,3,3,6,4,2,8
Group_7,Item_17,71,1,3,6,3,3,1,7,9,7,4
Group_8,Item_1,92,8,6,2,8,3,4,7,8,9,8
Group_8,Item_2,86,9,6,4,5,3,9,1,3,1,3
Group_8,Item_3,78,1,7,5,4,7,1,9,7,1,9
Group_8,Item_4,63,1,8,2,2,8,3,9,1,5,8
Group_8,Item_5,76,8,7,2,4,5,7,9,5,1,2
Group_8,Item_6,38,5,9,1,8,3,5,9,3,5,5
Group_8,Item_7,27,2,8,8,8,9,5,6,8,3,5
Group_9,Item_1,27,8,1,3,4,9,6,4,1,5,8
Group_9,Item_2,89,2,9,8,6,5,3,4,5,6,8
Group_9,Item_3,92,8,8,4,1,1,1,6,2,8,7
Group_9,Item_4,78,7,7,4,8,7,3,4,3,8,8
Group_9,Item_5,60,3,5,3,4,2,8,6,4,8,8
Group_9,Item_6,16,9,8,8,2,6,6,3,6,9,7
Group_9,Item_7,65,4,8,3,6,3,6,1,2,2,8
Group_9,Item_8,95,9,7,9,3,5,4,8,4,5,5
Group_9,Item_9,75,2,4,8,2,8,8,2,7,8,2
Group_9,Item_10,10,7,5,2,6,1,4,3,9,9,6
Group_9,Item_11,50,2,5,4,2,7,3,3,9,4,4
Group_9,Item_12,25,5,6,7,7,9,9,9,1,2,3
Group_9,Item_13,57,3,8,7,5,9,1,6,6,8,6
Group_9,Item_14,47,2,6,7,6,1,4,5,3,8,9
Group_9,Item_15,99,4,2,3,5,6,9,5,9,7,3
Group_9,Item_16,72,1,3,6,8,7,5,7,9,2,4
Group_9,Item_17,88,9,5,5,8,6,8,2,8,6,5
Group_9,Item_18,57,3,7,7,8,8,2,8,9,4,8
Group_9,Item_19,56,4,6,7,7,6,4,3,3,4,9
Group_9,Item_20,56,9,8,3,8,7,9,3,6,4,3
Group_9,Item_21,87,4,1,1,5,5,1,7,2,7,9
Group_9,Item_22,39,2,5,2,6,1,2,9,1,6,5
Group_10,Item_1,92,4,4,9,4,8,9,8,3,5,9
Group_10,Item_2,31,3,1,3,5,3,6,5,2,7,2
Group_10,Item_3,49,5,6,3,3,6,5,3,7,6,6
Group_10,Item_4,77,8,7,8,1,6,4,3,2,8,8
Group_10,Item_5,93,7,3,2,6,2,9,7,4,4,4
Group_10,Item_6,65,7,2,7,1,5,1,1,2,7,4
Group_10,Item_7,38,4,9,6,6,2,6,3,5,8,7
Group_10,Item_8,35,3,9,7,4,8,5,3,7,9,6
Group_10,Item_9,34,6,6,5,1,7,9,4,9,3,7
Group_10,Item_10,79,5,6,4,8,1,4,8,4,3,1
Group_10,Item_11,28,9,9,7,9,3,6,2,4,7,4
Group_10,Item_12,19,3,2,4,7,9,3,7,2,2,9
Group_11,Item_1,86,8,1,8,2,2,8,8,9,9,5
Group_11,Item_2,17,9,2,3,6,1,2,2,6,5,3
Group_11,Item_3,47,4,2,3,7,7,8,1,5,3,2
Group_11,Item_4,16,7,1,3,1,9,4,4,2,8,7
Group_11,Item_5,45,9,4,8,4,2,9,2,1,1,2
Group_11,Item_6,72,9,5,2,8,1,7,4,3,1,8
Group_11,Item_7,57,7,7,9,7,1,5,2,8,9,9
Group_11,Item_8,66,9,3,3,3,7,4,5,7,1,5
Group_11,Item_9,43,6,6,2,3,2,6,8,7,7,6
Group_11,Item_10,88,3,1,4,6,3,8,9,5,6,8
Group_11,Item_11,35,4,3,4,5,6,7,6,5,1,2
Group_11,Item_12,36,9,1,1,6,5,9,1,4,9,9
Group_11,Item_13,83,3,7,9,1,9,2,9,2,3,3
Group_11,Item_14,28,7,2,7,1,3,4,2,5,8,6
Group_11,Item_15,58,6,3,1,5,4,9,2,9,6,6
Group_11,Item_16,51,1,1,3,5,8,1,8,2,4,5
Group_11,Item_17,77,2,4,4,7,4,9,7,1,3,9
Group_11,Item_18,88,7,9,6,1,4,2,9,1,8,8
Group_11,Item_19,97,7,4,5,5,2,1,1,7,9,4
Group_11,Item_20,67,1,1,4,3,8,1,5,7,5,5
Group_11,Item_21,41,2,7,6,4,9,6,3,3,1,1
Group_11,Item_22,21,2,9,1,6,7,2,6,6,3,5
Group_11,Item_23,66,4,9,7,6,1,5,1,9,5,5
Group_11,Item_24,27,5,2,9,1,8,1,2,3,7,9
Group_11,Item_25,95,2,4,2,3,8,9,4,8,1,5
Group_11,Item_26,54,1,1,7,3,8,9,2,9,5,6
Group_11,Item_27,10,7,2,6,6,5,5,2,8,3,3
Group_11,Item_28,32,4,6,7,9,8,6,9,8,6,3
Group_12,Item_1,54,6,4,8,6,2,2,2,2,1,2
Group_12,Item_2,70,3,2,5,9,1,7,8,4,7,6
Group_12,Item_3,64,7,7,8,6,7,2,5,9,3,5
Group_12,Item_4,39,9,6,9,2,9,1,3,8,3,5
Group_12,Item_5,69,7,8,5,1,6,4,5,3,8,5
Group_12,Item_6,69,2,6,6,2,5,9,1,4,7,3
Group_12,Item_7,23,3,2,4,4,3,6,4,5,9,2
Group_12,Item_8,67,9,5,6,8,4,1,5,6,7,7
Group_12,Item_9,87,8,6,9,9,2,4,5,7,7,2
Group_12,Item_10,76,8,3,9,5,9,9,1,6,6,7
Group_12,Item_11,63,4,7,1,6,1,7,8,7,3,5
Group_12,Item_12,12,1,8,6,4,6,7,3,3,5,5
Group_12,Item_13,53,8,3,6,2,5,5,2,6,9,4
Group_12,Item_14,71,3,7,5,5,3,1,3,3,1,2
Group_12,Item_15,49,8,8,7,3,9,5,6,8,7,2
Group_12,Item_16,62,1,3,3,5,8,4,9,9,1,6
Group_12,Item_17,41,3,2,5,9,2,9,2,4,4,5
Group_12,Item_18,81,8,7,7,9,8,4,9,5,8,3
Group_12,Item_19,14,1,4,9,7,5,7,7,9,9,5
Group_12,Item_20,76,9,6,6,7,1,7,5,4,8,5
Group_12,Item_21,88,6,5,5,8,5,1,3,3,2,4
Group_12,Item_22,75,7,8,9,1,1,7,7,8,7,5
Group_12,Item_23,78,2,9,1,5,9,6,6,1,7,9
Group_12,Item_24,26,6,5,8,6,7,5,3,9,8,1
Group_12,Item_25,78,8,8,1,5,8,1,1,7,1,7
Group_12,Item_26,22,6,6,8,6,7,3,1,2,3,8
Group_12,Item_27,23,6,7,4,9,1,4,4,8,8,4
Group_12,Item_28,74,9,3,2,8,6,2,9,3,5,4
Group_13,Item_1,44,3,9,8,4,3,9,8,2,3,1
Group_13,Item_2,33,4,8,9,5,4,6,9,9,4,3
Group_13,Item_3,44,6,9,9,9,9,1,6,3,2,6
Group_13,Item_4,47,5,5,1,3,9,2,3,9,9,1
Group_13,Item_5,95,3,4,3,7,1,8,5,7,6,1
Group_13,Item_6,85,2,5,6,2,1,5,2,8,9,4
Group_13,Item_7,100,8,8,1,5,3,7,1,7,2,5
Group_13,Item_8,66,5,7,4,3,3,3,4,9,5,3
Group_13,Item_9,49,9,5,1,7,6,9,8,3,5,9
Group_13,Item_10,26,9,6,6,8,2,3,8,9,1,3
Group_13,Item_11,21,4,3,8,6,1,6,3,3,1,4
Group_13,Item_12,29,7,4,6,2,1,4,6,7,9,5
Group_13,Item_13,77,3,1,4,1,1,6,3,5,7,1
Group_13,Item_14,86,2,8,7,5,6,9,4,2,3,6
Group_13,Item_15,96,5,8,3,9,2,7,9,6,1,9
Group_13,Item_16,71,8,3,2,7,2,4,5,4,6,1
Group_13,Item_17,29,1,6,8,9,3,1,1,9,6,3
Group_13,Item_18,92,2,8,8,6,9,1,9,6,8,8
Group_13,Item_19,84,5,7,9,9,9,1,5,4,7,5
Group_13,Item_20,92,8,3,7,1,1,5,4,8,9,2
Group_13,Item_21,52,5,4,4,6,2,5,2,8,5,4
Group_13,Item_22,18,3,5,2,9,1,4,4,1,3,9
Group_13,Item_23,61,4,4,9,3,4,5,6,8,7,4
Group_13,Item_24,89,8,1,2,7,4,3,1,7,1,2
Group_13,Item_25,36,5,2,9,7,1,8,2,1,5,6
Group_13,Item_26,91,4,1,2,2,6,1,7,8,3,2
Group_13,Item_27,47,9,8,9,2,9,1,2,7,1,4
Group_13,Item_28,27,4,7,3,5,6,4,1,8,7,1
Group_14,Item_1,11,9,9,7,6,6,3,5,1,4,9
Group_14,Item_2,63,4,3,2,6,7,4,3,7,1,8
Group_14,Item_3,87,9,7,1,7,9,6,1,6,9,6
Group_14,Item_4,71,8,8,6,9,9,5,8,4,4,8
Group_14,Item_5,12,1,1,8,6,3,3,7,5,3,6
Group_14,Item_6,52,3,1,6,2,2,5,8,8,5,9
Group_14,Item_7,63,5,3,2,5,9,1,9,7,1,5
Group_14,Item_8,59,8,3,4,9,5,8,7,9,2,5
Group_14,Item_9,31,2,8,8,3,6,8,2,9,3,8
Group_14,Item_10,16,2,6,3,4,1,8,1,1,5,2
Group_14,Item_11,75,9,9,7,1,6,3,8,1,1,6
Group_14,Item_12,36,3,6,2,2,2,1,9,5,8,7
Group_14,Item_13,21,9,1,3,3,4,8,2,8,4,1
Group_14,Item_14,29,1,6,1,3,6,5,3,2,2,6
Group_14,Item_15,66,7,8,1,8,8,9,9,5,9,7
Group_14,Item_16,63,7,4,4,8,3,1,2,1,4,2
Group_14,Item_17,76,4,8,1,9,3,7,3,9,9,8
Group_14,Item_18,23,4,6,3,4,2,2,5,8,7,2
Group_14,Item_19,30,7,4,8,3,7,9,2,2,6,7
Group_14,Item_20,36,8,5,2,1,6,6,1,5,6,4
Group_14,Item_21,58,3,5,3,9,6,9,1,3,1,2
Group_14,Item_22,17,5,6,6,4,8,8,8,1,1,1
Group_14,Item_23,99,8,7,8,8,1,2,6,6,4,9
Group_14,Item_24,46,5,8,5,3,9,2,1,7,9,2
Group_14,Item_25,74,8,4,4,4,2,9,1,1,7,5
Group_14,Item_26,89,9,4,2,8,9,9,6,1,5,6
Group_14,Item_27,79,7,6,2,3,2,9,8,9,9,3
Group_15,Item_1,62,2,6,1,8,8,3,6,9,8,5
Group_15,Item_2,32,6,6,4,8,8,2,7,9,4,9
Group_15,Item_3,43,3,5,3,6,9,9,2,3,4,2
Group_15,Item_4,40,2,7,4,2,1,4,2,9,5,7
Group_15,Item_5,20,3,6,8,4,7,2,6,4,1,8
Group_15,Item_6,83,1,6,2,8,1,2,8,9,8,4
Group_15,Item_7,22,4,8,8,7,1,6,3,1,5,2
Group_15,Item_8,60,7,2,1,3,4,3,1,8,2,4
Group_15,Item_9,49,2,1,3,1,7,1,1,5,6,5
Group_15,Item_10,80,4,4,5,7,9,1,9,3,7,6
Group_15,Item_11,63,2,6,8,5,7,9,8,1,6,9
Group_15,Item_12,82,1,9,4,7,3,6,7,3,5,9
Group_15,Item_13,38,9,9,7,6,5,6,8,7,9,2
Group_16,Item_1,82,3,2,3,6,6,4,4,8,7,3
Group_16,Item_2,66,7,1,5,3,3,6,3,7,6,6
Group_16,Item_3,86,7,2,4,7,6,7,6,7,1,6
Group_16,Item_4,85,6,7,9,4,7,3,2,5,3,7
Group_16,Item_5,37,3,1,8,3,5,9,8,5,1,5
Group_16,Item_6,73,1,7,1,1,7,8,4,3,4,3
Group_16,Item_7,86,1,6,9,8,4,6,5,1,7,9
Group_16,Item_8,15,3,7,1,9,7,4,3,8,2,4
Group_16,Item_9,27,9,5,3,2,8,2,8,4,7,9
Group_17,Item_1,46,7,4,3,1,4,3,1,9,7,8
Group_17,Item_2,48,6,9,2,3,1,7,8,8,2,9
Group_17,Item_3,90,7,7,4,4,4,4,2,4,7,8
Group_17,Item_4,89,9,2,8,4,7,6,5,7,7,3
Group_17,Item_5,100,7,3,4,1,9,1,1,4,2,3
Group_17,Item_6,49,6,7,9,4,6,3,8,9,3,9
Group_17,Item_7,63,3,3,6,6,9,1,6,8,3,4
Group_17,Item_8,78,8,1,2,7,1,5,9,2,5,8
Group_17,Item_9,70,2,5,8,1,8,3,2,3,5,8
Group_17,Item_10,16,5,9,4,6,7,4,9,2,6,2
Group_18,Item_1,55,4,6,4,5,2,1,1,1,8,6
Group_18,Item_2,44,2,1,2,1,5,1,2,6,2,4
Group_18,Item_3,84,2,5,4,4,9,8,8,1,1,7
Group_18,Item_4,86,8,1,3,4,3,1,8,2,2,9
Group_18,Item_5,81,8,2,6,2,6,4,3,8,4,2
Group_18,Item_6,73,8,1,2,4,4,8,9,7,9,1
Group_18,Item_7,79,3,6,1,7,9,2,5,4,8,7
Group_18,Item_8,59,2,8,7,9,6,1,3,6,3,8
Group_18,Item_9,76,3,4,1,1,7,5,1,5,9,4
Group_18,Item_10,68,9,7,1,7,5,4,1,2,2,3
Group_18,Item_11,52,9,7,1,6,2,1,5,8,8,8
Group_18,Item_12,91,2,1,1,6,9,1,4,5,3,8
Group_18,Item_13,20,6,5,2,2,7,3,8,8,5,5
Group_18,Item_14,92,3,6,4,6,4,5,6,3,8,5
Group_18,Item_15,55,5,6,5,9,7,3,3,2,5,6
Group_18,Item_16,41,4,8,1,6,3,6,8,4,4,4
Group_18,Item_17,13,9,2,2,3,7,4,9,3,6,7
Group_19,Item_1,33,2,8,7,5,5,7,3,1,2,5
Group_19,Item_2,41,9,2,9,2,3,2,9,8,8,6
Group_19,Item_3,41,9,8,3,5,8,6,1,5,4,7
Group_19,Item_4,43,2,8,8,8,1,1,5,4,7,3
Group_19,Item_5,92,9,7,7,7,5,3,1,6,9,6
Group_19,Item_6,70,9,5,7,2,8,6,5,7,2,2
Group_19,Item_7,19,8,6,1,4,4,2,3,7,9,5
Group_19,Item_8,26,1,2,2,5,1,8,2,7,3,2
Group_20,Item_1,83,7,3,7,8,8,5,9,4,7,6
Group_20,Item_2,65,8,8,3,8,8,4,8,8,4,6
Group_20,Item_3,88,6,5,8,4,6,3,7,2,4,2
Group_20,Item_4,67,7,6,3,6,6,6,4,7,9,6
Group_20,Item_5,29,5,5,4,5,6,4,2,8,9,6
Group_20,Item_6,39,4,7,6,5,9,9,6,2,7,4
Group_20,Item_7,36,9,3,1,8,2,5,5,2,1,9
Group_20,Item_8,71,8,4,5,6,6,9,1,2,4,5
Group_20,Item_9,96,7,3,4,2,5,6,3,6,3,7
Group_20,Item_10,69,6,4,3,4,8,5,7,4,1,4
Group_20,Item_11,43,8,1,8,5,5,3,1,6,5,5
Group_20,Item_12,20,8,9,6,8,7,3,5,3,5,5
Group_20,Item_13,79,6,4,5,2,9,2,1,1,6,4
Group_20,Item_14,44,1,8,5,3,7,8,1,2,9,4
Group_20,Item_15,36,5,9,5,9,4,5,2,1,3,9
Group_20,Item_16,85,7,5,1,1,7,4,4,5,3,5
Group_20,Item_17,21,1,7,8,8,5,6,7,5,7,6
Group_20,Item_18,39,3,4,6,6,4,4,1,7,9,8
Group_20,Item_19,26,8,8,4,9,3,3,5,9,9,7
Group_20,Item_20,89,9,7,9,6,4,1,8,4,9,4
Group_20,Item_21,42,9,5,3,1,9,8,7,1,9,4
Group_20,Item_22,56,4,6,4,5,4,7,4,9,2,7
Group_20,Item_23,66,7,2,2,7,6,3,9,5,1,2
Group_20,Item_24,95,2,2,9,2,7,8,9,1,9,6
Group_21,Item_1,14,9,9,1,7,6,5,8,4,8,1
Group_21,Item_2,21,7,7,6,3,1,5,3,4,6,4
Group_21,Item_3,64,4,4,2,6,8,1,5,9,5,4
Group_21,Item_4,21,9,6,9,2,8,2,4,3,8,5
Group_21,Item_5,69,4,1,2,7,8,6,8,9,3,6
Group_21,Item_6,63,6,5,5,9,4,8,8,6,5,3
Group_21,Item_7,78,4,8,5,9,1,9,1,6,1,5
Group_22,Item_1,21,8,4,9,1,5,8,7,7,5,1
Group_22,Item_2,51,1,6,7,3,2,6,7,1,2,7
Group_22,Item_3,29,9,3,4,7,3,1,8,3,1,7
Group_22,Item_4,100,3,1,8,7,2,4,6,2,3,2
Group_22,Item_5,27,9,4,5,9,7,8,1,6,3,3
Group_22,Item_6,27,4,5,1,6,1,5,4,9,1,9
Group_22,Item_7,28,7,8,1,8,3,7,4,8,1,3
Group_22,Item_8,45,9,9,1,7,2,3,9,4,6,1
Group_22,Item_9,97,6,2,6,5,1,1,1,8,4,9
Group_22,Item_10,39,7,8,2,3,4,6,6,9,2,8
Group_22,Item_11,50,4,6,5,4,5,1,2,8,2,8
Group_22,Item_12,14,3,8,4,5,4,3,8,8,8,9
Group_22,Item_13,69,1,5,4,7,3,4,4,7,7,6
Group_22,Item_14,58,4,7,3,1,3,4,9,4,9,1
Group_22,Item_15,17,8,5,8,1,2,8,7,5,5,6
Group_22,Item_16,69,1,2,4,1,8,8,1,5,8,2
Group_22,Item_17,91,6,8,5,5,2,1,7,1,1,1
Group_22,Item_18,42,2,4,5,1,7,3,8,9,5,2
Group_22,Item_19,54,1,8,5,6,4,6,2,1,6,9
Group_22,Item_20,54,3,4,9,7,8,1,3,9,9,5
Group_22,Item_21,98,8,7,1,6,6,5,3,4,4,2
Group_22,Item_22,10,1,9,5,2,3,4,5,3,5,3
Group_22,Item_23,20,8,5,7,8,2,7,5,6,2,9
Group_22,Item_24,17,7,5,2,4,5,1,3,5,8,8
Group_22,Item_25,62,2,4,2,7,4,2,6,9,8,5
Group_22,Item_26,47,2,8,7,8,5,6,7,7,8,2
Group_23,Item_1,75,9,2,9,5,9,8,1,1,1,9
Group_23,Item_2,36,6,3,9,1,9,5,2,6,5,8
Group_23,Item_3,55,2,3,8,6,8,9,2,6,7,9
Group_23,Item_4,22,5,4,4,4,1,3,7,5,1,5
Group_23,Item_5,26,4,9,2,5,4,8,1,8,1,4
Group_23,Item_6,12,7,1,6,4,5,1,7,9,1,2
Group_23,Item_7,38,8,8,6,5,5,6,2,8,5,7
Group_23,Item_8,21,7,9,3,3,4,2,8,3,1,7
Group_23,Item_9,13,2,5,4,6,8,1,4,8,4,2
Group_23,Item_10,71,7,7,1,4,5,8,6,3,2,8
Group_23,Item_11,63,5,9,9,6,7,2,9,8,8,3
Group_23,Item_12,63,8,5,5,8,2,9,7,1,7,9
Group_23,Item_13,77,4,3,6,2,6,7,3,3,3,4
Group_23,Item_14,41,2,4,5,7,7,7,2,6,1,8
Group_23,Item_15,15,8,2,8,1,3,4,8,6,2,7
Group_23,Item_16,68,6,4,9,6,4,6,9,6,7,6
